PSRJ,RAJD,RAJD_ERR,DECJD,DECJD_ERR,DM,P0,W50,astrometry_err,racsmatch
J1428-5530,217.1093333333333,1.25e-05,-55.51390555555555,1.1111111111111112e-05,82.4,0.570292409826179,13.0,1.67244369149893e-05,RACS_1428-56A_4193
J1429-5911,217.49416666666664,0.0004166666666666,-59.1935,0.0001944444444444,,0.1158426100773162,,0.00045980403770122215,
J1429-5935,217.35791666666665,0.0004166666666666,-59.599694444444445,0.0003333333333333,456.7,0.7639148305341594,12.0,0.0005335936864526645,
J1430+22,217.50416666666663,0.0,22.406388888888888,0.0,23.32,,,0.0,
J1430-5712,217.567375,8.333333333333333e-05,-57.20872222222223,5.555555555555556e-05,149.0,0.49151880358,10.0,0.00010015420209622192,
J1430-6623,217.66972916666663,8.333333333333332e-06,-66.38487500000001,2.777777777777778e-06,65.102,0.7854433453623382,3.8,8.78410461157883e-06,RACS_1430-68A_5307
J1431-4715,217.9359070833333,8.333333333333333e-07,-47.25765944444444,1.111111111111111e-06,59.3473,0.0020119534425332,,1.388888888888889e-06,
J1431-5740,217.76456375,1.2499999999999997e-06,-57.66990833333333,1.111111111111111e-06,131.3766,0.0041105439567658,0.176,1.6724436914989296e-06,
J1431-6328,213.3384583333333,0.00025,-63.46905555555556,0.0001111111111111,228.27,0.00277229565,0.83,0.0002735793833832206,
J1432-5032,218.21779166666664,0.0002916666666666,-50.53813888888889,0.0001666666666666,113.0,2.0349894792,36.0,0.0003359274061790153,RACS_1446-50A_6297
J1433-6038,218.30491666666663,0.00025,-60.64297222222222,0.0002222222222222,409.0,1.9544296353,46.0,0.0003344887382997712,
J1434+7257,218.49890416666665,3.7499999999999992e-06,72.95736444444445,1.6666666666666669e-06,12.605,0.04174114783993,1.9,4.103690750748376e-06,
J1434-5943,218.7429583333333,8.333333333333333e-05,-59.72822222222222,5.555555555555556e-05,126.0,1.07212121207,42.9,0.00010015420209622192,
J1434-6006,218.5220833333333,0.0008333333333333,-60.10805555555556,0.00025,332.0,0.30636786268,4.5,0.0008700255424091806,
J1434-6029,218.66291666666663,0.0012499999999999,-60.496944444444445,0.0008333333333333,282.0,0.963348323151926,19.0,0.0015023130314432273,
J1435-5954,218.75086666666667,4.166666666666666e-06,-59.91375,2.777777777777778e-05,44.26,0.4729963772025263,18.0,2.8088539466884287e-05,RACS_1453-62A_6508
J1435-6100,218.83448541666664,2.083333333333333e-06,-61.01609888888889,1.9444444444444444e-06,113.7819,0.0093479722102481,1.1,2.849761740094887e-06,
J1437-5959,219.2579583333333,0.000125,-59.98372222222223,8.333333333333333e-05,549.6,0.0616961234035,4.33,0.0001502313031443329,
J1437-6146,219.31379166666665,0.0003749999999999,-61.76722222222222,0.0002222222222222,200.5,0.4676163234503246,16.0,0.00043589874517976977,
J1439+7655,219.84166666666664,0.0,76.92944444444444,0.0,22.29,0.947903,7.0,0.0,
J1439-5501,219.91559166666664,1.6666666666666669e-06,-55.02322805555556,1.6666666666666669e-06,14.565,0.0286348881904545,1.7,2.357022603955159e-06,RACS_1428-56A_2750
J1440-6344,220.13025,8.333333333333333e-05,-63.74677777777778,5.555555555555556e-05,124.2,0.4596067239005889,8.1,0.00010015420209622192,RACS_1453-62A_5774
J1441-6137,220.4345833333333,0.0004166666666666,-61.623333333333335,0.0005555555555555,166.0,1.1758400229,18.0,0.00069444444444436,
J1443-5122,220.862375,0.00025,-51.37388888888889,0.0002777777777777,87.0,0.7320612647,44.0,0.00037371177908532304,RACS_1446-50A_4902
J1444-5941,221.19375,0.0012499999999999,-59.68861111111111,0.0008333333333333,177.1,2.7602279448029736,47.0,0.0015023130314432273,
J1444-6026,221.0250833333333,0.0002916666666666,-60.43594444444444,0.0001111111111111,367.7,4.7585755679,21.0,0.0003121139590866592,
J1446-4701,221.6487992804307,4.002869651341097e-09,-47.024109739677655,4.3544192071571185e-08,55.82787,0.0021946957808815,0.1,4.3727790118087496e-08,
J1449-5846,222.3559583333333,0.00025,-58.77788888888889,0.0001944444444444,216.6,0.463329577191,21.0,0.0003167153958608444,
J1452-5851,223.21916666666667,0.0004166666666666,-58.85366666666667,0.0003055555555555,260.5,0.3866429281059257,9.1,0.0005166965343815322,
J1452-6036,223.2161875,1.6666666666666664e-05,-60.60873055555556,1.388888888888889e-05,349.525,0.1549921917382756,1.8,2.1695137988629595e-05,RACS_1453-62A_4667
J1453+1902,223.4404922529644,2.448640935424186e-08,19.036694885206536,1.045923018025751e-07,14.057,0.0057923027388475,0.4,1.0742036045100788e-07,
J1453-6413,223.38610416666663,2.5e-05,-64.22111111111111,1.388888888888889e-05,71.248,0.1794868044230388,3.2,2.8598972613852778e-05,RACS_1453-62A_4590
J1454-5846,223.54545,1.25e-05,-58.776316666666666,8.333333333333334e-06,116.091,0.0452487729980324,2.9,1.502313031443329e-05,
J1455-3330,223.9498756937216,6.024101060677905e-09,-33.5128887443382,1.45094960478684e-07,13.5697,0.0079872048066837,0.8,1.4521996195392744e-07,
J1456-6843,223.99967916666665,1.25e-05,-68.72763888888889,5.555555555555556e-06,8.613,0.2633769071818169,13.0,1.3678969169161257e-05,RACS_1433-69A_5322
